billIndex,billId,billStatus,billType,billTitle
300,s127-114,REFERRED,s,Stop Motorcycle Checkpoint Funding Act
301,s1270-114,REFERRED,s,Reliable Investment in Vital Energy Reauthorization Act
302,s1271-114,REFERRED,s,FLARE Act
303,s1272-114,REFERRED,s,A bill to direct the Comptroller General of the United States to conduct a study on the effects of forward capacity auctions and other capacity mechanisms.
304,s1273-114,REFERRED,s,Strengthening America's Bridges Act
305,s1274-114,REFERRED,s,A bill to amend the National Energy Conservation Policy Act to reauthorize Federal agencies to enter into long-term contracts for the acquisition of energy.
306,s1275-114,REFERRED,s,Job Creation through Energy Efficient Manufacturing Act
307,s1276-114,REFERRED,s,Offshore Energy and Jobs Act of 2015
308,s1277-114,REFERRED,s,Federal Energy Savings Enhancement Act of 2015
309,s1278-114,REFERRED,s,Alaska Outer Continental Shelf Lease Sale Act
310,s1279-114,REFERRED,s,Southern Atlantic Energy Security Act
311,s128-114,REFERRED,s,Energy Efficiency Improvement Act of 2015
312,s1280-114,REFERRED,s,United States Exploration on Idle Tracts Act
313,s1281-114,REFERRED,s,Helping Our Middle-Class Entrepreneurs Act
314,s1282-114,REFERRED,s,"A bill to amend the Energy Policy Act of 2005 to require the Secretary of Energy to consider the objective of improving the conversion, use, and storage of carbon dioxide produced from fossil fuels in carrying out research and development programs under that Act."
315,s1283-114,REFERRED,s,"A bill to amend the Energy Policy Act of 2005 to repeal certain programs, to establish a coal technology program, and for other purposes."
316,s1284-114,REFERRED,s,"A bill to clarify the treatment of carbon emissions from forest biomass, and for other purposes."
317,s1285-114,REFERRED,s,Coal with Carbon Capture and Sequestration Act of 2015
318,s1286-114,REFERRED,s,Veterans Appeals Assistance and Improvement Act of 2015
319,s1287-114,REFERRED,s,Viral Hepatitis Testing Act of 2015
320,s1288-114,REFERRED,s,Welfare Abuse Prevention Act
321,s1289-114,REFERRED,s,Defense Acquisition Contractor Workforce Improvement Act of 2015
322,s129-114,REFERRED,s,Repeal Executive Amnesty Act of 2015
323,s1290-114,REFERRED,s,TRICARE Portability Act of 2015
324,s1291-114,REFERRED,s,A bill to authorize early repayment of obligations to the Bureau of Reclamation within the Northport Irrigation District in the State of Nebraska.
325,s1292-114,REPORTED,s,HUBZone Revitalization Act of 2015
326,s1293-114,REFERRED,s,"A bill to establish the Department of Energy as the lead agency for coordinating all requirements under Federal law with respect to eligible clean coal and advanced coal technology generating projects, and for other purposes."
327,s1294-114,REFERRED,s,Bioenergy Act of 2015
328,s1295-114,REFERRED,s,Arapaho National Forest Boundary Adjustment Act of 2015
329,s1296-114,REFERRED,s,Build USA Act
330,s1297-114,PASS_OVER:SENATE,s,U.S. Commercial Space Launch Competitiveness Act
331,s1298-114,REPORTED,s,Port Performance Act
332,s1299-114,REFERRED,s,Garrett Lee Smith Memorial Act Reauthorization of 2015
333,s13-114,REFERRED,s,Hurricane Sand Dunes National Recreation Area Act of 2015
334,s130-114,REFERRED,s,IDEA Full Funding Act
335,s1300-114,ENACTED:SIGNED,s,Adoptive Family Relief Act
336,s1301-114,REFERRED,s,Restoring Medicaid for Compact of Free Association Migrants Act of 2015
337,s1302-114,REFERRED,s,Parental Bereavement Act of 2015
338,s1303-114,REFERRED,s,Veterans Education Priority Enrollment Act of 2015
339,s1304-114,REFERRED,s,21st Century Energy Workforce Act
