id,sentiment,score_compound,score_neg,score_neu,score_pos
1321069,neu,0.7085,0.087,0.775,0.138
1321070,neu,-0.7411,0.093,0.878,0.029
1321071,neu,0.0,0.0,1.0,0.0
1321072,neu,0.4939,0.0,0.792,0.208
1321073,neu,0.0,0.0,1.0,0.0
1321074,neu,0.0772,0.0,0.92,0.08
1321075,neu,0.0,0.0,1.0,0.0
1321082,neu,-0.3612,0.143,0.857,0.0
1321083,neu,0.8481,0.047,0.792,0.161
1321084,neu,-0.4215,0.277,0.583,0.141
1321085,neu,0.6697,0.0,0.791,0.209
1321086,neu,0.0,0.0,1.0,0.0
1321199,neu,0.0,0.0,1.0,0.0
1321200,neu,0.7906,0.118,0.579,0.304
1321201,neu,0.9845,0.0,0.658,0.342
1321202,neu,0.7311,0.063,0.668,0.269
1321203,neg,0.0,0.0,0.0,0.0
1321204,neu,0.5267,0.0,0.784,0.216
1321205,neu,0.8074,0.0,0.672,0.328
1321206,neu,0.4767,0.0,0.563,0.437
1321207,neu,-0.1522,0.186,0.657,0.158
1321208,neu,-0.7543,0.295,0.583,0.122
1321209,neu,0.9136,0.077,0.683,0.241
1321210,neu,0.4767,0.0,0.563,0.437
1321211,neu,-0.2746,0.319,0.491,0.19
1321212,pos,0.8507,0.0,0.266,0.734
1321213,neu,0.5255,0.0,0.639,0.361
1321214,neu,0.0,0.0,1.0,0.0
1321215,pos,0.7506,0.0,0.484,0.516
1321216,neu,-0.296,0.197,0.68,0.122
1321217,neu,0.128,0.12,0.737,0.143
1321218,neu,0.4767,0.0,0.78,0.22
1321219,neu,0.2235,0.28,0.384,0.336
1321220,neu,0.7269,0.0,0.585,0.415
1321221,neu,0.0,0.0,1.0,0.0
1321222,neu,0.7906,0.0,0.742,0.258
1321223,neu,0.7351,0.0,0.563,0.437
1321224,neu,-0.7011,0.221,0.779,0.0
1321225,neu,0.0,0.0,1.0,0.0
1321226,neu,0.6674,0.0,0.733,0.267
1321227,neu,0.9831,0.037,0.738,0.225
1321228,neu,0.3818,0.11,0.662,0.228
1321229,neu,-0.25,0.235,0.563,0.202
1321230,neu,0.3612,0.0,0.545,0.455
1321231,neu,0.6369,0.0,0.574,0.426
1321232,neu,0.0,0.0,1.0,0.0
1321233,neu,0.4767,0.0,0.881,0.119
1321234,neu,0.8883,0.111,0.664,0.225
1321235,neu,0.0,0.0,1.0,0.0
1321236,neu,0.4767,0.0,0.563,0.437
1321237,neu,-0.4215,0.318,0.682,0.0
1321238,neu,0.7269,0.142,0.55,0.307
1321239,neu,0.8156,0.054,0.71,0.236
1321240,pos,0.7579,0.0,0.483,0.517
1321241,neu,0.0,0.0,1.0,0.0
1321242,neu,0.7968,0.054,0.716,0.23
1321243,neu,0.7906,0.0,0.867,0.133
1321244,pos,0.296,0.0,0.476,0.524
1321245,neu,0.8316,0.0,0.605,0.395
1321246,neu,-0.5106,0.18,0.708,0.112
1321247,neu,0.2732,0.179,0.603,0.218
1321248,neu,0.6208,0.129,0.618,0.254
1321249,neu,0.0,0.0,1.0,0.0
1321250,neu,0.0,0.0,1.0,0.0
1321251,neu,-0.5859,0.388,0.612,0.0
1321252,neu,0.7351,0.0,0.563,0.437
1321253,neu,-0.8468,0.133,0.784,0.083
1321254,neu,-0.0258,0.209,0.588,0.203
1321255,neu,-0.743,0.338,0.443,0.219
1321256,neu,0.2732,0.163,0.574,0.263
1321257,neu,0.4767,0.0,0.795,0.205
1321258,neu,0.9633,0.018,0.72,0.261
1321261,neu,-0.5423,0.467,0.533,0.0
1321262,neu,0.0,0.0,1.0,0.0
1321263,neu,0.0,0.0,1.0,0.0
1321264,neu,0.1901,0.0,0.937,0.063
1321265,neu,-0.5983,0.261,0.739,0.0
1321266,pos,0.6369,0.0,0.49,0.51
1321289,neu,0.0,0.0,1.0,0.0
1321290,neu,0.1655,0.181,0.615,0.204
1321292,neg,-0.886,0.61,0.39,0.0
1321293,pos,0.4404,0.0,0.256,0.744
1321294,neu,-0.9453,0.192,0.659,0.149
1321295,pos,0.2263,0.294,0.252,0.454
1321296,neu,-0.596,0.17,0.672,0.159
1321297,neu,0.9856,0.047,0.694,0.259
1321300,neg,-0.5267,0.63,0.37,0.0
1321301,neg,-0.5859,1.0,0.0,0.0
1321302,pos,0.4215,0.0,0.417,0.583
1321303,neu,-0.3818,0.271,0.729,0.0
1321304,neu,0.0,0.0,1.0,0.0
