"Name","Year"
"Reggie Jackson HOF",1978
"Cliff Johnson",1978
"Jay Johnstone",1978
"Bob Kammeyer",1978
"Mickey Klutts",1978
"Paul Lindblad",1978
"Sparky Lyle",1978
"Larry McCall",1978
"Andy Messersmith",1978
"Thurman Munson",1978
"Graig Nettles",1978
"Lou Piniella",1978
"Dave Rajsich",1978
"Domingo Ramos",1978
"Willie Randolph",1978
"Mickey Rivers",1978
"Dennis Sherrill",1978
"Jim Spencer",1978
"Fred Stanley",1978
"Gary Thomasson",1978
"Dick Tidrow",1978
"Roy White",1978
"George Zeber",1978
"Mike Aldrete",1996
"Brian Boehringer",1996
"Wade Boggs HOF",1996
"Ricky Bones",1996
"Billy Brewer",1996
"David Cone",1996
"Mariano Duncan",1996
"Robert Eenhoorn",1996
"Cecil Fielder",1996
"Andy Fox",1996
"Paul Gibson",1996
"Joe Girardi",1996
"Dwight Gooden",1996
"Charlie Hayes",1996
"Matt Howard",1996
"Steve Howe",1996
"Mark Hutton",1996
"Dion James",1996
"Derek Jeter",1996
"Scott Kamieniecki",1996
"Pat Kelly",1996
"Jimmy Key",1996
"Jim Leyritz",1996
"Graeme Lloyd",1996
"Matt Luke",1996
"Tino Martinez",1996
"Tim McIntosh",1996
"Jim Mecir",1996
"Ramiro Mendoza",1996
"Jeff Nelson",1996
"Paul O'Neill",1996
"Dave Pavlas",1996
"Andy Pettitte",1996
"Dale Polley",1996
"Jorge Posada",1996
"Tim Raines HOF",1996
"Mariano Rivera",1996
"Ruben Rivera",1996
"Kenny Rogers",1996
"Ruben Sierra",1996
"Luis Sojo",1996
"Darryl Strawberry",1996
"David Weathers",1996
"John Wetteland",1996
"Wally Whitehurst",1996
"Bob Wickman",1996
"Bernie Williams",1996
"Gerald Williams",1996
"Willie Banks",1998
"Joe Borowski",1998
"Ryan Bradley",1998
"Scott Brosius",1998
"Jim Bruske",1998
"Mike Buddie",1998
"Homer Bush",1998
"David Cone",1998
"Chad Curtis",1998
"Chili Davis",1998
"Todd Erdos",1998
"Mike Figga",1998
"Joe Girardi",1998
"Orlando Hernandez",1998
"Darren Holmes",1998
"Hideki Irabu",1998
"Mike Jerzembeck",1998
"Derek Jeter",1998
"Chuck Knoblauch",1998
"Ricky Ledee",1998
"Graeme Lloyd",1998
"Mike Lowell",1998
"Tino Martinez",1998
"Ramiro Mendoza",1998
"Jeff Nelson",1998
"Paul O'Neill",1998
"Andy Pettitte",1998
"Jorge Posada",1998
"Tim Raines HOF",1998
"Mariano Rivera",1998
"Luis Sojo",1998
"Shane Spencer",1998
"Mike Stanton",1998
"Darryl Strawberry",1998
"Dale Sveum",1998
"Jay Tessmer",1998
"David Wells",1998
"Bernie Williams",1998
"Clay Bellinger",1999
"Scott Brosius",1999
"Mike Buddie",1999
"Roger Clemens",1999
"David Cone",1999
"Chad Curtis",1999
"Chili Davis",1999
"Todd Erdos",1999
"Mike Figga",1999
"Tony Fossas",1999
"Joe Girardi",1999
"Jason Grimsley",1999
"Orlando Hernandez",1999
"Hideki Irabu",1999
"Derek Jeter",1999
"D'Angelo Jimenez",1999
"Jeff Juden",1999
"Chuck Knoblauch",1999
"Ricky Ledee",1999
"Jim Leyritz",1999
"Jeff Manto",1999
"Tino Martinez",1999
"Ramiro Mendoza",1999
"Dan Naulty",1999
"Jeff Nelson",1999
"Paul O'Neill",1999
"Andy Pettitte",1999
"Jorge Posada",1999
"Mariano Rivera",1999
"Luis Sojo",1999
"Alfonso Soriano",1999
"Shane Spencer",1999
"Mike Stanton",1999
"Darryl Strawberry",1999
"Tony Tarasco",1999
"Jay Tessmer",1999
"Allen Watson",1999
"Bernie Williams",1999
"Ed Yarnall",1999
"Clay Bellinger",2000
"Scott Brosius",2000
"Jose Canseco",2000
"Randy Choate",2000
"Roger Clemens",2000
"David Cone",2000
"Wilson Delgado",2000
"Craig Dingman",2000
"Darrell Einertson",2000
"Todd Erdos",2000
"Ben Ford",2000
"Dwight Gooden",2000
"Jason Grimsley",2000
"Orlando Hernandez",2000
"Glenallen Hill",2000
"Derek Jeter",2000
"Lance Johnson",2000
"Felix Jose",2000
"David Justice",2000
"Randy Keisler",2000
"Roberto Kelly",2000
"Chuck Knoblauch",2000
"Ricky Ledee",2000
"Jim Leyritz",2000
