"Candidate","Date","Title","SpeechUrl","FileName"
"Hillary Clinton","May 27, 2015","Remarks to the Democratic Women's Council in Columbia, South Carolina","http://www.presidency.ucsb.edu/ws/index.php?pid=110268","Hillary-Clinton-May-27-2015-116.txt"
"Hillary Clinton","June 4, 2015","Remarks at Texas Southern University in Houston","http://www.presidency.ucsb.edu/ws/index.php?pid=110269","Hillary-Clinton-June-4-2015-117.txt"
"Hillary Clinton","June 13, 2015","Remarks in a Campaign "Kickoff" Speech in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=110267","Hillary-Clinton-June-13-2015-118.txt"
"Hillary Clinton","June 15, 2015","Remarks and a Question and Answer Session at a Campaign Event in Rochester, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=111419","Hillary-Clinton-June-15-2015-119.txt"
"Hillary Clinton","July 12, 2015","Interview with Brianna Keilar of CNN's "State of the Union"","http://www.presidency.ucsb.edu/ws/index.php?pid=111421","Hillary-Clinton-July-12-2015-120.txt"
"Hillary Clinton","July 13, 2015","Remarks at the New School for Social Research in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=111418","Hillary-Clinton-July-13-2015-121.txt"
"Hillary Clinton","July 26, 2015","Excerpt of Remarks in Ames, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=119293","Hillary-Clinton-July-26-2015-122.txt"
"Hillary Clinton","September 9, 2015","Remarks and a Question and Answer Session at the Brookings Institution in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=111417","Hillary-Clinton-September-9-2015-123.txt"
"Hillary Clinton","September 17, 2015","Interview with Wolf Blitzer of CNN","http://www.presidency.ucsb.edu/ws/index.php?pid=111422","Hillary-Clinton-September-17-2015-124.txt"
"Hillary Clinton","September 20, 2015","Interview with John Dickerson of CBS News "Face the Nation"","http://www.presidency.ucsb.edu/ws/index.php?pid=111423","Hillary-Clinton-September-20-2015-125.txt"
"Hillary Clinton","September 27, 2015","Interview with Chuck Todd of NBC's "Meet the Press"","http://www.presidency.ucsb.edu/ws/index.php?pid=111424","Hillary-Clinton-September-27-2015-126.txt"
"Hillary Clinton","October 4, 2015","Interview with Al Sharpton of MSNBC's "Politics Nation"","http://www.presidency.ucsb.edu/ws/index.php?pid=111425","Hillary-Clinton-October-4-2015-127.txt"
"Hillary Clinton","October 16, 2015","Interview with Jake tapper of CNN","http://www.presidency.ucsb.edu/ws/index.php?pid=111426","Hillary-Clinton-October-16-2015-128.txt"
"Hillary Clinton","October 18, 2015","Interview with Jake tapper of CNN's "State of the Union"","http://www.presidency.ucsb.edu/ws/index.php?pid=111427","Hillary-Clinton-October-18-2015-129.txt"
"Hillary Clinton","October 22, 2015","Opening Statement to House Select Committee on Benghazi","http://www.presidency.ucsb.edu/ws/index.php?pid=119294","Hillary-Clinton-October-22-2015-130.txt"
"Hillary Clinton","November 19, 2015","Remarks and a Question and Answer Session at the Council on Foreign Relations in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=111416","Hillary-Clinton-November-19-2015-131.txt"
